created_at,tweet_text,Argumentative
2021-11-14 07:16:43+00:00,"Some say …
If you are a morally superior, hypersensitive, narcissistic Individual uninterested in any opinions other than your own, then join #InsulateBritain or #ExtinctionRebellion https://t.co/cJW7eeanx0",1
2021-11-17 18:26:34+00:00,Pretty sure a warm welcome awaits #InsulateBritain in various hmp establishments across the country tonight .,1
2021-11-17 18:04:23+00:00,What a crying shaman he got put away. I wish they would do this to #InsulateBritain protestors https://t.co/cw2EZlXO7B,1
2021-11-18 09:43:24+00:00,Any fines they incur I'll pay. Whatever it costs. #jeremyvine #InsulateBritain,0
2021-11-18 09:51:54+00:00,Seems Mark is jealous of one of the #InsulateBritain protestors having 2 properties. #jeremyvine,0
2021-11-17 12:23:13+00:00,"Sentences were no where near tough enough 
#InsulateBritain #InsulateBritainLoonies",1
2021-11-17 17:39:57+00:00,Excellent news. #InsulateBritain activist jailed for blocking M25 declares hunger strike.  https://t.co/mJCKGTuFu9,1
2021-11-17 18:22:36+00:00,"When the 9 meet their cell mates tonight

See how you get on sitting on the floor and not moving

#InsulateBritain https://t.co/OXiDWrtFh9",1
2021-11-17 15:33:23+00:00,"@Ma1ick Thanks!

I am not qualified to say what made so many #InsulateBritain members thugs.
Many seem to have come from good homes, so that seems unlikely as a factor.
A lot are middle-aged, so perhaps the crazy stunts that are often associated with mid-life crises?
...",1
2021-11-17 10:35:40+00:00,Judge has temporarily left to think about sentence #Highway9 #InsulateBritain,0
2021-11-17 17:02:13+00:00,"Two things to do in London this Saturday:

1. Go to Royal Courts of Justice to protest the jail sentences of #InsulateBritain 

2. Go to Polish Embassy to protest the despicable way the EU and Belarus are treating human beings at the border 

Both called for 12 pm so plan well",1
2021-11-11 10:13:20+00:00,"An #InsulateBritain spokesperson told us: ""Our government are taking us in entirely the wrong direction. This means they are colluding in genocide.”

https://t.co/W79Zy1bqkS",0
2021-11-17 14:10:30+00:00,"Will get passed around like the wing radio this guy 😂😂

#InsulateBritain https://t.co/OmR5iGWLuK",0
2021-11-16 00:17:12+00:00,"🇬🇧#InsulateBritain protesters dragged violently from the middle of the street. 

#Britain https://t.co/FjajY29m1K",0
2021-11-18 09:48:43+00:00,"@JeremyVineOn5 While I dont agree with the methods of #InsulateBritain &amp; similar groups, causing disruption and chaos - I do not think they should be branded as criminals.

History doesn't remember the suffragettes or stonewall riots as criminals.

@theJeremyVine",1
2021-11-17 17:22:39+00:00,Tonight: Full to capacity - we're in Northwick Park hospital's #covid ward. Also: the #InsulateBritain  protestors jailed for their part in blocking the M25. And the #queen makes her first official engagement since missing Remembrance Sunday. Join me and team for @itvlondon at 6,0
2021-11-17 15:51:09+00:00,"What do you make of this? 🚔

#insulatebritain #m25 #britain #onthetools #tradesmen https://t.co/ciipAyuVXZ",0
2021-11-17 15:40:51+00:00,Fantastic news. I'll be opening a midweek red tonight and toasting the health of the judge who had the gumption to jail these dangerous #InsulateBritain fanatics. https://t.co/aUekqUUsBh,1
2021-11-18 10:24:44+00:00,#InsulateBritain are nothing like suffragettes. https://t.co/KFcPiOexyb,1
2021-11-10 14:47:22+00:00,@ClimateHuman You can protect your kids and make a difference. A lot of people follow you. Peter you need to use your influence to help spread the word and endorse other activists who are out there engaging-in nonviolent direct action and making a difference. For start help  #InsulateBritain,1
2021-11-10 14:52:54+00:00,"@CharlieJGardner Thanks for this, Charlie. I feel so privileged to be able to work for @Aspireoxford who support my activism and thank you to @SohaHousing for the funding to enable my work to continue 💚🙏🏻#progressiveemployer #oneplanetliving #InsulateBritain #extinctionrebellion #ActNow",1
2021-11-18 12:13:51+00:00,"(2/2) But nobody criticises/arrests the armed forces!
Theres always a 'better way', but sometimes all u can do is the best u can. Environmentalists have spent decades fighting to give us a chance at a future and no1 has listened. #InsulateBritain are just making themselves heard!",1
2021-11-17 11:23:41+00:00,@damiengayle Ignore #InsulateBritain advice at your peril. Karma will bite consumers this Winter. https://t.co/wmmzMWVFJN,1
2021-11-17 12:16:51+00:00,"Except now those very same politicians have bypassed trial by jury for nine climate activists, sending them straight to prison with a private injunction, so not quite ""EVERYONE ELSE"". #InsulateBritain https://t.co/Q5xEMdKyo3",0
2021-11-17 11:10:45+00:00,@TimesRadio Whenz #COP26 in the courts? 🌍🔥😏 #InsulateBritain @AlokSharma_RDG #ClimateApocalypse @GretaThunberg @ExtinctionR,0
2021-11-18 05:44:16+00:00,"Dear #InsulateBritain nutters.
I hope your arses don't hurt too much this morning.
Xx",1
2021-11-17 12:34:23+00:00,@BrummieBoy5 You’ll get arrested and thrown in prison ! #InsulateBritain,1
2021-11-16 13:44:03+00:00,"@SiobhanBenita If it’s #InsulateBritain you are referring to , it’s their irresponsible actions they are being locked up for , not their beliefs. #brokenbritain",1
2021-11-17 23:56:14+00:00,Blocking roads to demand we take urgent action to confront climate change starts to look reasonable when you look at what climate change can do to roads. #InsulateBritain https://t.co/1RwotVhKcJ,1
2021-11-17 13:48:22+00:00,"""Eco mob behind bars for M25 travel chaos""
#Woke Middle Class white people with dodgy hair go to jail.
In a sea of bad news, finally something good!!!
#InsulateBritain 
https://t.co/MBTTQXi6Mw",1
2021-11-12 11:55:43+00:00,"@_david_ho_ Non-violent resistance is now a moral necessity.
#directaction 
#InsulateBritain 
#Civildisobedience
#ClimateJustice",1
2021-11-17 22:18:03+00:00,"It’ll be lonely this Christmas,
Lonely &amp; Cold…..

Prison Cells are not known for their insulation, either for heating or soundproofing purposes.

#InsulateBritain https://t.co/F2rGruiFBT",1
2021-11-17 15:09:43+00:00,#InsulateBritain  #ClimateCrisis  #COP26Glasgow with @damiengayle @MaeveShearlaw @guardian,1
2021-11-17 13:54:17+00:00,@AmnestyUK so appalled that 9 #InsulateBritain activists have been jailed. What a travesty of justice and hypocrisy Is there anything you/we can do to help?,0
2021-11-18 08:33:28+00:00,"Jonathan Pie hits the nail on the head.

#ExtinctionRebellion 
#InsulateBritain 

https://t.co/yvr5dkMR8S",0
2021-11-18 19:56:18+00:00,"@DannySt44245634 @LisaWright1975 @MontagueTerrie @BorisJohnson They need to concentrate on SERIOUS crimes and become more harsh with idiots who cause unnecessary trouble like #InsulateBritain nine of them have got locked up...for now, but unfortunately there will be others who will carry on behaving like disruptive morons for their 'cause'",1
2021-11-15 11:33:49+00:00,Correct q. asked by @mrjamesob ON @lbc: MSM can make you ANGRY RE #InsulateBritain stopping 1 patient getting to hospital but u arent angry at #Tories re 160K ppl not getting Tx when needed bc of #ambulance delays reaching ppl/ queueing at #hospitals  https://t.co/kDFJ5hy8sj #NHS,0
2021-11-18 08:00:44+00:00,Excellent news that a group of these Insulate Britain morons have been rightly sent to prison for their disgusting actions in disrupting ordinary working people doing their jobs. Hopefully Christmas inside will put some sense in their heads #InsulateBritain,1
2021-11-16 22:09:59+00:00,"That moment when you realise when David Attenborough says the collapse of cities and human civilisation is approaching, he actually means it https://t.co/tkkd0YXX0a #InsulateBritain #ClimateAction #climate #climatechange https://t.co/yspL1t1nfJ",1
2021-11-17 11:15:18+00:00,"@ROBINBLAKE83 @HelenAnnSmith0 @adamboultonSKY I think that it shows that a lot of the sentences for violent assault are a disgrace!
For #insulatebritain, I don't think anyone disagrees that insulation is a very good idea. Blocking roads was a very bad idea and so is thinking that you are above England and Wales Law!",1
2021-11-16 12:57:10+00:00,"Some very true, but sad signs ""Jailing the messenger will not save us!"" #InsulateBritain https://t.co/laiNSS8PFT",1
2021-11-13 20:34:26+00:00,"https://t.co/IvzXKV9ZrD [driving at people is a crime right? Should be arrested, not profiting from endangering people 😠] #ClimateCrisis #InsulateBritain",1
2021-11-18 06:41:10+00:00,"#insulatebritain oh well at least it’s one less mouth for the taxpayer to feed.
 https://t.co/FNMlGGuidG",1
2021-11-17 00:00:08+00:00,"@rachaelvenables @LBC If these people do not receive justifiably harsh sentences, then they will hold the rest of the UK to ransom for ever more. Fact.

#InsulateBritain",1
2021-11-17 17:28:44+00:00,"She’ll also find out how insulated our prisons are. 
#insulateBritain #GetAJob 

Insulate Britain activist jailed for blocking M25 declares hunger strike https://t.co/tflqrSlWPC",1
2021-11-17 20:10:34+00:00,"Are #InsulateBritain going to stop?

No!

Why?

Because the next three to four years will decide the future for most life on Earth, including our children's and our own.

So, ask yourself, what are you going to do?
#ActNow https://t.co/JkxW1Xq1eX",1
2021-11-17 18:59:09+00:00,"@GordonM64982417 @pritipatel Since we are shouting...WELL SAID GORDON I COULDN'T AGREE WITH YOU MORE SIR!
Just for interest in the press photos this protestor was in most shots.  
Who is he and did he stay off the roads when the injunction was issued? 
#InsulateBritain #ClimateCrisis #ExtinctionRebellion https://t.co/8POhPyDMRw",1
2021-11-16 14:14:30+00:00,"Do the crime, serve the time. You deserve to be harshly punished for terrorising innocent members of the public with your ridiculous stunts.

Never forget your blockades killed a woman (who had a stroke and couldn’t get to hospital). #InsulateBritain https://t.co/of4XixpNw6 https://t.co/dSE6Ye1uOa",1
2021-11-14 18:06:40+00:00,".#COP26 

With China/India watering down coal agreement 

With UK emissions at only 0.9% of World total

Will #InsulateBritain please f' off and glue themselves to Chinese and Indian roads

.",1
2021-11-17 17:46:00+00:00,"Looking forward to #InsulateBritain complaining about their new ""Insulated digs"" in a prison near you... Merry Christmas turkeys, maybe change your name to #InsulatePrison",1
2021-11-17 14:10:09+00:00,"#InsulateBritain didn't inconvenience lives, compared to inconvenience caused by #ClimateCrisis, #NHS_Cuts or #Covid_19. Don't see any of the cause of those jailed.",1
2021-11-17 14:30:28+00:00,I think #InsulateBritain need a better spokeswoman 😳 @GBNEWS,1
2021-11-18 09:41:52+00:00,#InsulateBritain Twerp on hunger strike -does anyone give a monkeys,1
2021-11-17 12:36:52+00:00,Great news! The #InsulateBritain protesters will have to settle for gluing themselves to their prison cells. At least they’ll be warm. 🤣 #GbNews @GbNews https://t.co/vErq0skHuX,1
2021-11-17 07:20:40+00:00,"Modern insulation would solve the majority of energy issues in the UK.

The reason it doesn’t get promoted or standardised is @Conservatives are a party of Landlords and Energy Company shareholders.

#InsulateBritain tactics may be stupid; but the campaign matters. https://t.co/6vBvQ16lxd",1
2021-11-18 21:56:22+00:00,#FreshAir by #ventilation (and #heat recovery) of all public buildings - a prerequisite for aims of @InsulateLove (#InsulateBritain) - is needed to tackle the #ClimateEmergency and to #EndCovid as well as impede future #pandemics. This must be paid for by #Wealth #redistribution. https://t.co/bTv64tgiem,1
2021-11-14 11:58:07+00:00,@PA Phase down not phase out. #CopOut26 On THEIR watch.🌍🔥💣 #COP26Glasgow @GretaThunberg @AlokSharma_RDG @10DowningStreet @BorisJohnson #InsulateBritain @ExtinctionR @GreenpeaceUK  Pulse IS weak🪦🤦🏻‍♂️,1
2021-11-18 11:53:50+00:00,We’re an uneducated nation lead by a media who don’t understand the magnitude of what they are reporting #insulatebritain https://t.co/M1yceUZytT https://t.co/17uyKtsDuS https://t.co/oZPNKpGEfu,1
2021-11-14 07:25:28+00:00,"We have attracted an enornous amount of media interest and we have started thousands of conversations, in the press, on social media and in homes up and down the country.

#InsulateBritain #SaveLives #GetOnWithTheJob #EndFuelPoverty https://t.co/JzGENnvJ5V",1
2021-11-17 14:23:11+00:00,"@grantshapps At least #InsulateBritain take the #climatecrisis seriously!

It is you who should be in jail after ""spending public money on lobbyists opposing the government’s own plans to build on private runways, including one he has personally used"" 

https://t.co/4riqP2j21I",1
2021-11-16 11:09:07+00:00,"Myriam Stacey QC, representing @NationalHways says the application for committal of the nine #InsulateBritain defendants relates to an action on 8 October on the M25 near Waltham Cross.",0
2021-11-17 13:49:58+00:00,"We made a video ! On the road with #InsulateBritain as they blocked junctions, annoyed everyone, invited us to late night planning sessions and ultimately faced the high court. Thanks @DamienGayle for agreeing to present it! https://t.co/9RFFlAYCsf",1
2021-11-18 09:39:04+00:00,"@JeremyVineOn5 #InsulateBritain yes they may be good people but im afraid even if you did insulate the whole of britain it really isnt going to save the world from climate change...
Commercial fishing, tearing up jungles, forests etc.if this doesnt stop nothing will change!  ✌",1
2021-11-17 14:42:09+00:00,7 of the 9 #InsulateBritain #insulatebritian supporters are on their way to HMP Pentonville where they will spend the next 2-6 months including Christmas. Is this a start of something meaningful? Only time will tell. https://t.co/6WoOvTBRcJ,0
2021-11-17 12:25:39+00:00,@MrMatthewTodd Ex-leader of Liberal Democrats says #insulatebritain  https://t.co/isO2Onpzi6,0
2021-11-17 11:30:31+00:00,Really alarmed to see such lengthy sentences for #InsulateBritain protestors – another massive assault on the right to protest which will stop us all from standing up to power https://t.co/bS2P8fiipZ,1
2021-11-18 07:32:57+00:00,@GMB #InsulateBritain #George  go protest in Russia snd China,1
2021-11-17 15:38:09+00:00,@guardiannews Simple. They disrupt the lives of ordinary people on motorways due to time sensitive business including health issues. If motive true still no effort to mitigate suffering of individuals struggling to navigate an already overwhelmed transport network. #InsulateBritain #arrogance,1
2021-11-17 19:35:04+00:00,#c4news they don't help themselves but imprisoning anyone including #InsulateBritain  protesters for non- violent acts is fruitless,1
2021-11-11 07:32:38+00:00,“This looks to me to have all the #genius of the #cheapestsolution for as long as @HastingsInPress &amp; other local forces don’t #kickupastink on behalf of #delayedmotorists.I see so much less anger here than RE #InsulateBritain;why do you suppose ‘tis? #Silverhill #StLeonardsOnSea https://t.co/SxlHM2Upxf,1
2021-11-18 08:26:03+00:00,"@LBC @NickFerrariLBC Roads &amp; rail into Vancouver destroyed by torrential rain; much of BC flooded = huge disruption.... not a single #XR or #InsulateBritain demonstrator in sight.
@DominicRaab ”Send the storm to jail”
@BBCEnvironment @alextomo @XRebellionUK @InsulateLove @timfarron",0
2021-11-17 12:07:10+00:00,"#InsulateBritain activists jailed  - there are thousands more ready to step up...I'm just one. 

Trolls - don't waste your time on me, you won't tell me anything I haven't already heard.

Disgruntled followers can unfollow. Bye 👋",1
2021-11-18 16:02:36+00:00,"@Antipolluters @MetroUK They're just attention-seekers with nothing better to do. I completely agree with @toryboypierce on this. And most of them, like this couple, can clearly afford to carry on like they do. Other people have to work for a living #jeremyvine #InsulateBritain",1
2021-11-17 10:53:35+00:00,Nine #InsulateBritain eco-loons/terrorists have been jailed. https://t.co/bTXgy1qkFI,1
2021-11-18 10:40:04+00:00,"Glue and Protest won’t Insulate British Homes #InsulateBritain
https://t.co/OymyY6Clgf",1
2021-11-17 13:07:00+00:00,"Nine #Insulate #Britain activists are jailed at the High Court https://t.co/ySK7PKzCw6 via @MailOnline 
#alarmist #InsulateBritain #terroists LOCKEDUP about time don't you think, that will teach them.",1
2021-11-17 11:16:26+00:00,"Sentencing time for the #Fascist #InsulateBritainNine

#InsulateBritain 

#StAlbans https://t.co/cAh39958tR",1
2021-11-17 11:17:56+00:00,"I know these people from #InsulateBritain have been driving motorists crazy, but is this really what our prisons are for?

How do these sentences compare with those handed down to dangerous drivers?

https://t.co/yqNRFSgvEo",1
2021-11-17 13:03:26+00:00,So now we're sending #insulatebritain protesters to prison?? What's the next move? #Dystopia #cop26 I'm finding it hard to be hopeful.,1
2021-11-17 18:08:42+00:00,Will the #InsulateBritain blokes who have been jailed be glueing their ass cheeks together?,1
2021-11-17 13:16:42+00:00,About time  Eight #InsulateBritain protesters jailed for up to four months -  ninth locked up for six months - So much for 2 years - at least it`s #Christmas in jail is fine by me :),1
2021-11-18 07:26:11+00:00,"@benshephard says a majority of the ‘British public’ 72% are against #InsulateBritain 

How many people were surveyed Ben…?

#GMB is everything that’s wiring with Britain today",0
2021-11-17 10:45:51+00:00,"The High Court has sentenced nine #InsulateBritain activists to immediate custodial sentences after breaching a court-ordered injunction against the use of road blockades in protests.

@HJACrimeTeam @HJAcivillibs",0
2021-11-17 11:05:28+00:00,"Insulate Britain Nine - makes them sound like they’re heroes. They aren’t, they’re now convicted criminals. Nothing heroic about that at all 🤷🏻‍♀️ #justsaying #insulatebritain #M25 https://t.co/OmTb2UG4ze",1
2021-11-10 17:26:42+00:00,"With 10,000 people expected to die from #FuelPoverty and a need to reduce #CarbonEmissions, the issue of home insulation is urgent.

But #InsulateBritain's protests have unleashed unwanted backlash.

Here's why👇
https://t.co/kXK1wrmwBG",1
2021-11-12 13:25:12+00:00,"#tyredofsuvs are definitely my new favourite self indulgent, do more harm than good protest as entertainment super bellend team, move over #InsulateBritain you are so last week.  #XR? Forget it M8.

#COP26Glasgow #Labour #BUMTRON",1
2021-11-16 22:56:20+00:00,"Just get on with it &amp; #InsulateBritain, you know it makes sense
#ClimateAction 
#ClimateJustice 
@InsulateLove 
https://t.co/isO2Onpzi6",1
2021-11-13 09:21:06+00:00,@gringolito @gbs2u He is part of the #InsulateBritain group and had superglued his nose to your front door….,1
2021-11-18 21:51:36+00:00,"@GBNEWS One thing all these eco warrior nutters have in common is they don’t listen, and they rant. @danwootton #InsulateBritain do NOT have my backing. They don’t speak for me! #InsulateBritain are nutters. They’ve put me off environmentalism!",1
2021-11-17 13:32:18+00:00,"Jailed members of #InsulateBritain 

Do you think they deserve the punishment they received or do you think this is taking things too far? 🤔 

Discuss 

#ClimateCrisis #ClimateEmergency @LBC @BBCNews https://t.co/SrCTZ6SAhD",0
2021-11-16 10:18:15+00:00,All nine #InsulateBritain defendants have entered court four at the Royal Courts of Justice carrying the bags they plan to take to prison.,0
2021-11-17 12:27:16+00:00,"I hope their prison cells are insulated! 😏 #insulatebritain 

Nine Insulate Britain activists jailed for breaching injunction to prevent road blockades | UK News | Sky News https://t.co/jwx8A7IAu4",1
2021-11-17 19:31:49+00:00,"The next f*cker to support protest in Hong Kong, will be called out after the jailing of #InsulateBritain protesters
 #C4News #ToryHypocrisy",1
2021-11-17 20:35:01+00:00,"It's incredible that Insulate Britain's delusional campaign has actually turned a very pro-green British public against them. How could they have got it so wrong, absolute imbeciles. #InsulateBritain",1
2021-11-15 19:40:45+00:00,@GabrielShoo #insulatebritain have upped their game,1
2021-11-14 10:46:58+00:00,"@LaoTzu5 @AlexeiRomanov13 @jackscht @Janekelly25 @Leew96727210 @GAULEITEROWENJ1 @AmolPartridge @A_2_Loyal @CremanteCommie @dionysuslilipu1 @ObergefreiterM @JustinBaileyart @Tararabumdeay0 @MumofFatCassie @jajhed1 @pondOFthoughts @Wurzelg3 @RANTER_DAD @LiamThorpECHO @COVID19 @BBCPM @DavidOlusoga @taylor_stevie @danroan @JamesDelingpole @MrJoshPerry @GMB @SkyNews @BBCNews @Channel4News @bbc5live @BBCr4today @BBCRadio4 @HugoWinogradsky @skygillian @NickyAACampbell @ryantubridy @coronavirus @Rentadad @TonyBlair @campbellclaret @BBCNewsnight @lottery @covid @CovOddballs @itvnews @desmondtutu @KARENGAMMON @Alock @sharmelsheik #InsulateBritain will get their botties properly spanked when Priti brings forward tomorrow's ""#LockEmUp"" additions for jail for public protests tomorrow amended Police and Criminal Act"" #copout26  #cop26 #ExtinctionRebellion #GretaThunberg",0
2021-11-17 11:56:40+00:00,"Contrary to what the judge says, these brave people are going to jail for attempting to PREVENT harm - the harm done to millions in fuel poverty in the UK &amp; all who suffer now &amp; in the future from climate catastrophe. Shame on our justice system. #InsulateBritain #Highway9 https://t.co/upC2q8YFQ2",1
2021-11-18 18:28:55+00:00,The tactics of #InsulateBritain are ridiculous and pretty much useless but this will become the norm for protest in Britain. From the football fan to the worker protesting for better working conditions. This is a dangerous precedent. #KilltheBill #ToryBritain https://t.co/KhiFmjXjKp,1
2021-11-17 10:16:17+00:00,"The prosecution have said that the 9 defendants have created £91,000 in costs by blocking roads #Highway9 #InsulateBritain",1
2021-11-18 04:18:23+00:00,"Gaoled, hunger striking #InsulateBritain activist drove equivalent of 3¼ times around the world.
“For me, visiting wilderness areas in the world is always a personal highlight.”
Adventurous Weymouth couple take on 51 countries in 858 days https://t.co/ClOyAXdrMQ",1
2021-11-17 11:22:32+00:00,"@GreenPartyMolly ""is this really what our prisons are for?""
For protecting the public from such reckless thugs?
Absolutely!
#InsulateBritain",1
2021-11-16 15:16:23+00:00,So how many of those #InsulateBritain loons have been ed fined and/or jailed ?,1
2021-11-17 19:34:33+00:00,"I see Farage is hatewanking himself blind in a frothy frenzy of fascism at the #InsulateBritain jail terms.

The shitemongering twunt. https://t.co/2b5DqHjfTd",1
2021-11-17 10:00:50+00:00,Just arrived at the Royal Court of Justice too observe the sentencing of the #Highway9 We are in an overflow court room as there are perhaps 100 people wanting to watch the case. #InsulateBritain,0
2021-11-18 22:11:12+00:00,"10 peaceful environmental protestors are in prison in the UK right now.

What will you do? 

Will you join us in mass civil resistance? 

#extinctionrebellion #insulatebritain #climatecrisis #climatejustice #nonviolent #civildisobedience https://t.co/3pmcggxPJV",1
2021-11-17 18:07:53+00:00,"@grantshapps @NationalHways So you have managed to incarcerate at least 9 #InsulateBritain protestors.
 How about stinging @ExtinctionR nincompoops? The Pseudo Vigilante Group (PVG500) are still organising themselves, and will be available to serve as 'Citizen Guards' early next year. @metpoliceuk",1
2021-11-18 07:35:23+00:00,"This bloke on @GMB needs to get a grip of himself. I get his point, but Jesus to be absolutely breaking down over it is something else #GMB #InsulateBritain",1
2021-11-18 07:44:17+00:00,"Eco-zealot takes positive action to reduce her carbon footprint. #HungerStrike #InsulateBritain
https://t.co/pZxcDBftv2",1
2021-11-10 17:54:18+00:00,@AvantiWestCoast two people from Rugby to London - £300 and £21 for two travelcards. Absolute disgrace - so will be taking the car and polluting the atmosphere thanks to your price-gouging. I'm sure you'll pretend greenwash #Railways #COP26 #environment #InsulateBritain https://t.co/Ywf7gKl593,0
2021-11-18 07:31:32+00:00,"The #InsulateBritain protesters were annoying yeah of course and I’d often said they needed to protest outside Downing St and not take it out on ordinary people BUT to jail them? Nah, it’s a bit extreme. What a waste of money ffs",1
2021-11-16 12:38:42+00:00,"Today at High Court in London nine ordinary people from Insulate Britain face trial for breaking the M25 injunction. How absurd it would be to fine and lock up those who challenge the Government to do its job and  #InsulateBritain

https://t.co/HnS1lAIJkT https://t.co/28Rv7aK2Eu",1
2021-11-17 20:43:35+00:00,"Nearly half of all global tax abuse emanating from Normal Island:
Rachel Johnson Shamima Begum
#PMQs #PoliticsLive #PrimeMinister #KeirStarmer  
#NHS #Covid_19 
#InsulateBritain #WorldPrematurityDay2021 https://t.co/lSQFhwcxaA",0
2021-11-17 14:16:53+00:00,"@BurningClock @campbellclaret @InsulateLove Don't forget the brainocide that is first needed to indulge in such hyperbole as ""ecocide"",...
#InsulateBritain @InsulateLove #ExtinctionRebellion",1
2021-11-16 20:29:01+00:00,"Real Media's special report on #InsulateBritain, their mayhem-causing direct action on motorways and most of all, why.

#ClimateCrisis

Full coverage ➡️ https://t.co/M91W7r7j3y https://t.co/Z2UG7cn6WF",1
2021-11-16 11:20:13+00:00,"@rachaelvenables @LBC #InsulateBritain - not so cocky now.

#London 

https://t.co/bF0VPUYU1p",1
