created_at,tweet_text
2021-11-19 07:00:01+00:00,"Stand against state crackdown on Insulate Britain. The jailings are an attack on all of us. 
#InsulateBritain
https://t.co/8xm1fG4d5M"
2021-11-12 16:54:44+00:00,@BThroughParty Does you associate yourselves with the beliefs and practices of @ExtinctionR and #InsulateBritain
2021-11-19 09:08:58+00:00,@bojum12 @GBNEWS my switching off was nothing to do with @GBNEWS ... its was the woman from #InsulateBritain railing at @danwootton .... then the blonde female on his panel ...interrupting the other two and being rude .. and her raised sqeaking voice was doing my ears in ...... #Amy 🙄🤨
2021-11-17 18:33:42+00:00,I don’t know how to feel about this. Can anyone tell me if #InsulateBritain are full committed to #RejoinEU? Thanks 🇪🇺🇪🇺🇪🇺 https://t.co/KAqUJq5sxz
2021-11-19 11:53:00+00:00,"PS if you're thinking 'but it's not even cold yet, Brads, you would be right. I am a very cold person. And sitting at a desk all day is a very cold thing to do, in my experience. 🔥🌏 #ClimateEmergency #InsulateBritain"
2021-11-17 18:16:47+00:00,"@ladbible Chief of Water Cannon and Taser Deployment, Anti-#InsulateBritain Unit."
2021-11-17 11:20:57+00:00,"Hysterical #insulateBritain with dodgy predictions are rightly jailed.
They will quickly realise that breaking the law, with jail as the outcome, is a dreadful experience.
I just hope someone in there educates them on alternative scientific thought &amp; that nothing has been proven."
2021-11-18 12:24:52+00:00,"Jailed protestor on hunger strike 

She’s spent her entire adult life trying to save wildlife &amp; protect the environment

Now the freedom to protest has been taken away from her, her prison hunger strike is the only way forward

#InsulateBritain 

https://t.co/ri9mjzJ2J1"
2021-11-17 13:16:26+00:00,"@Cornish_Rebel @CamillaTominey They were not jailed for ""trying to save the planet"".
#InsulateBritain fans lying certainly contribute to #CrapBritain
So does cheapening horrible crimes against women with your shrill hyperbole."
2021-11-17 13:52:54+00:00,"Don't disrupt or obstruct other people's lives &amp; break the law.
And you won't get sent to prison.
#InsulateBritain 
https://t.co/kiSIllsot7"
2021-11-17 21:02:17+00:00,Obstructing a road is more serious than killing someone. #CarDependency #InsulateBritain https://t.co/iioZAb3Gbz
2021-11-17 14:17:01+00:00,"Joshua speaking from #InsulateBritain @LBC @ShelaghFogarty is the first person I've heard from the activist group that makes a lot of sense and is actually getting the message across 

I also see that he feels at a loss having explored all other options ☮ #ClimateCrisis @BBCNews"
2021-11-13 08:11:23+00:00,"Ploy by UK gov to institutionalise the UK rental market. Every property EPC C before 2025 NOT just landlords. With every planning application? Obligate all to #INSULATEBRITAIN WHY EVERY new home = heat pump.. No you'll piss off your donation mates! 
https://t.co/QYkg1pUCDh"
2021-11-17 13:04:48+00:00,"We’re they deserve to be!

F*** #InsulateBritain  https://t.co/LwdECbmzjl"
2021-11-17 11:28:10+00:00,"Once again, hugely disappointed at this pitifully weak sentencing. A country which cannot defend itself is not worth defending. #insulatebritain https://t.co/EN0Ld3ZlY4"
2021-11-18 15:47:06+00:00,@MetroUK fixed it for you lads. Bunch of incels indeed #InsulateBritain https://t.co/jpy9Dx0yUu
2021-11-18 11:35:30+00:00,"Nicky Campbell asks: 'Should we be jailing climate activists?'

🗣️Tracey from #InsulateBritain:'Places like the Marshall Islands are going under water.'

🗣️Matt in Seaford:'And you think stopping people on the M25 will help?'

Listen to the @NickyAACampbell phone-in on @BBCSounds https://t.co/Pk3bXR5yC9"
2021-11-19 09:30:21+00:00,@GBNEWS @danwootton Why are you even giving them the time of day ? #InsulateBritain
2021-11-17 14:02:30+00:00,"@IPolemikos Polemicist, you say?
One would never guess that from the hyperbole and convenient fictionalisation in such tweets.

The #Thug9 from @InsulateLove are in jail for their selfish and reckless vigilantism.
Justice was done today, fortunately.

#InsulateBritain #ActNow"
2021-11-18 17:43:44+00:00,"(2/3) On the other hand, maybe it just shows they are infinitely #woke -- or they don't know what love is.

#InsulateBritain #insulatebritainloonies #humor #funny #humorous"
2021-11-17 22:09:33+00:00,Turn off the heating and let them freeze. Haha you plebs 🤣 Merry jailbird crimbo to you 🤣🤣🤣 #InsulateBritain
2021-11-17 19:37:20+00:00,#InsulateBritain activists jailed for blocking the M25! WTF!  Peaceful protest should not result in jail!
2021-11-15 13:06:08+00:00,@LBC @Shell moves its HQ to UK. Trust.🌍🔥🇬🇧@AlokSharma_RDG #CopOut26 @BorisJohnson #ClimateCrisis @GretaThunberg @joelycett @Channel4News @ExtinctionR #InsulateBritain
2021-11-17 15:25:02+00:00,Insulate Britain Protesters jailed. About time. #InsulateBritain @InsulateLove
2021-11-17 14:09:58+00:00,"@bencsmoke @JKSteinberger Heroes for out times. In years to come people will look back and wonder how we could have been so stupid. One day there will be statues of the Motorway 9, #InsulateBritain"
2021-11-18 13:19:59+00:00,"I wrote this yesterday. I only found out about the prison sentences today. My piece applies to the #InsulateBritain protestors now in jail serving 3 &amp; 6 months. We need more heroes like these. @InsulateLove #InsulateBritain #ClimateAction #CopOut26 
https://t.co/f4QBrQ3wwh"
2021-11-17 10:48:33+00:00,"A good signal sent out. Right cause, diabolical tactics. That’s #insulatebritain https://t.co/OkSZdMM1ml"
2021-11-18 09:48:54+00:00,"Jeremy's #InsulateBritain Sympathy Level meter is like something from Brass Eye.

#JeremyVine @thejeremyvine @stormhuntley @toryboypierce @y_alibhai https://t.co/QhxcPZflER"
2021-11-18 18:40:16+00:00,PeeWee Herman is going to prison and one woman has said she'll go on hunger strike lol 😂😂 awk well this is going to be great too funny #InsulateBritain https://t.co/josOZ8WPty
2021-11-17 10:52:12+00:00,Nine #InsulateBritain activists have been jailed at the High Court for breaching an injunction designed to prevent the group’s road blockades. https://t.co/DkV2chf5iM
2021-11-18 07:36:03+00:00,@GMB more #insulatebritain sh1te
2021-11-17 11:25:09+00:00,Part two - now please throw away the keys! #InsulateBritain https://t.co/4qrLjQVidF
2021-11-17 21:30:43+00:00,#InsulateBritain Karma Bites Back 😄 https://t.co/YZXMOkhRCF
2021-11-17 10:51:40+00:00,BREAKING: Nine #InsulateBritain activists have been jailed at the High Court for breaching an injunction designed to prevent the group's road blockades #kmfmnews
2021-11-17 19:38:37+00:00,"@Channel4News @MinnieStephC4 Great job Tracey Mulligan, telling Minnie what she should be doing! How often does our scum media ask the right questions? What is more important than climate change? #C4News #InsulateBritain #ClimateEmergency https://t.co/a8MWBFU3oU"
2021-11-19 10:17:38+00:00,"“Become ‘we’, find your tribe” Rousing call to action by @georgiaes at the @BSRIALtd Briefing - disruptive sustainability - #ExtinctionRebellion #InsulateBritain https://t.co/Mu6uDFRLAQ"
2021-11-17 11:17:40+00:00,Just heard that all the #InsulateBritain idiots got sent to prison. Shame. https://t.co/xRZ455CKzC
2021-11-15 12:24:21+00:00,Why did #InsulateBritain do this? What about all the ambulances 😡 https://t.co/SEGD7yzaa8
2021-11-18 17:51:51+00:00,"The so called #InsulateBritain have been locked up, is it right to use our prisons like this? Are we literally using prison to scare them? Scare of others? What remand centre will they go to from The High Court in #london? There must’ve been other options the judge could’ve used? https://t.co/4NSE4mDvot"
2021-11-17 18:07:05+00:00,I do not think sending #InsulateBritain  activists to prison is in the intterests of the general public or those involved.
2021-11-18 07:25:50+00:00,@GMB #InsulateBritain you don’t make change causing chaos and anger amongst people! This does not make people sympathise and want too listen this creates hashtags such as #InsulateBritainLoonies
2021-11-17 10:53:37+00:00,@craig739 And a good Christmas present for ordinary decent people that the privileged Thug 9 from #InsulateBritain thought they could treat with such selfish contempt.
2021-11-16 13:44:47+00:00,"“The scariest part is just splitting from my life for however long, and how my relationship with my partner will be affected. I know it’s not going to be easy”

#InsulateBritain activist James Thomas speaks this morning ahead of a possible prison sentence for blocking the M25 https://t.co/SzWGtTXEr7"
2021-11-17 13:36:50+00:00,"@carolinejmolloy @openDemocracy Fixed it for you:

#InsulateBritain: I’m going to cause huge disruption to roads that cause ambulances and police to be delayed when theyre needed. 

The establishment, today: have 4 months in jail

They’re not being jailed for their cause, they’re being jailed for their actions"
2021-11-17 11:03:05+00:00,Who breaks a butterfly on a wheel? #InsulateBritain #ExtinctionRebellion
2021-11-18 08:52:21+00:00,"Why are this government incarcerating climate protestors? Instead of listening to them? 
#InsulateBritain
40% of our carbon emissions are lost through our homes
#ClimateEmergency 
#stop1point5 https://t.co/DxBlAg0E5f"
2021-11-17 13:32:19+00:00,@Nigel_Farage Brilliant.....just jail all of them. @BorisJohnson @pritipatel @grantshapps #GBNews #InsulateBritain
2021-11-18 08:36:33+00:00,"Insulate Britain can keep yelling all they like. I’m not gonna listen. In fact, I’ll be doing the total opposite to what they want🥳🥳 #InsulateBritain"
2021-11-18 07:31:48+00:00,"@GMB #InsulateBritain did the crime, they now deserve to do the time.
People need to update their learnings &amp; do things differently"
2021-11-18 00:50:38+00:00,@Joejoe7Joseph I'd be super glueing my arse cheeks together if I was them 🤣#InsulateBritain
2021-11-17 12:02:08+00:00,"As nine #InsulateBritain activists have been jailed for breaching an injunction designed to stop them from blocking roads, fellow campaigner Cameron Ford explains why now it's the time to act https://t.co/wxZXLbIArS"
2021-11-17 11:55:46+00:00,"Buzz off, Commies.
#InsulateBritain https://t.co/21hOwoKsEy"
2021-11-18 11:41:34+00:00,"The #InsulateBritain ""protesters"" committed major criminal offences, again and again. Now they're going to jail. They thought they would be *insulated* from the consequences of their actions, just because they're #Woke. Wrong! I have to confess, I have zero sympathy for them."
2021-11-17 10:23:28+00:00,The defendants are now discussing their personal circumstances so the judge can decide on an appropriate sentence  #Highway9 #InsulateBritain
2021-11-16 22:50:24+00:00,"We've all been betrayed by our governments.  #ClimateChaos #ClimateEmergency #InsulateBritain 
""Civil disobedience is the place to be."" Emma Smart standing in the middle #Solidarity https://t.co/5iD2JWB5NU"
2021-11-12 19:51:19+00:00,"I still haven't had the opportunity to run over an #InsulateBritain protester that's glued themselves to the road.

What am I doing wrong?"
2021-11-18 09:41:18+00:00,Not much love for jailed #InsulateBritain halfwits this morning lol!!  #JeremyVine
2021-11-19 07:53:06+00:00,"Compare #OwenPaterson's and #JacobReesMogg's light-handed treatment over their #corruption and #sleaze, to the clearly excessive punishment dished out to #InsulateBritain protesters, and you see oligarchy in action.
#Newblog
#TorySleaze #ToryCorruption
https://t.co/IbQ4ckQSxF"
2021-11-17 18:46:39+00:00,@GBNEWS Enjoy jail 👍🏻 #media #politics #InsulateBritain
2021-11-15 14:42:49+00:00,@Andrew_McGill @CllrSteveF @hantsconnect It is. However it could be perma-on to warm those people struggling to pay to heat their own homes. #InsulateBritain
2021-11-17 11:15:26+00:00,I don’t like the tactics used by #InsulateBritain activists but insulating homes is the best way to cut back on using energy to heat our homes. However it will be very costly and difficult in older homes in the U.K.
2021-11-16 09:11:00+00:00,"Get down to the Royal Courts of Justice now - support the fight against new oil in Surrey - and support the fight for the solutions to the crisis that's already here, as #InsulateBritain activists face prison sentences today.

keep it in the ground, and fight for #ClimateJustice https://t.co/QfPKy4Zfbg"
2021-11-18 09:58:54+00:00,"#jeremyvine
#insulatebritain wanting homes insulated but bang on about genocide? Are they right in the head or what?"
2021-11-17 12:57:20+00:00,@InsulateLove A message to #InsulateBritain from the working classes. https://t.co/d4bxyAHCaQ
2021-11-16 11:05:08+00:00,"Surely this is the time to set tactical differences aside in the face of a threat that wants to take all manner of protest down, from #ExtinctionRebellion and #InsulateBritain to #BlackLivesMatter and beyond?
But it seems not. @novaramedia would rather smirk at the sidelines. 6/8 https://t.co/UNxTSvIf9S"
2021-11-17 12:27:47+00:00,"‘With these prison terms, the long and honourable tradition of civil disobedience is under attack again’ - our @HJACrimeTeam colleagues on #InsulateBritain protestors sentenced to immediate custody after breaching road obstruction injunction https://t.co/W63RPIyTb8"
2021-11-17 14:34:26+00:00,"@realBenBloch @BristolUni First the vile anti-semite, David Miller.
Now this criminal.
It really is not a good time for Bristol Uni.
#InsulateBritain"
2021-11-17 12:38:25+00:00,"@Foxtrot_Cop Worse than just silly.
Disrespectful.
Arrogant.
Selfish.
Ignorant.
...
Such deceitful comparisons do #InsulateBritain no good whatsoever.
They definitely do not help the environment either."
2021-11-17 14:11:47+00:00,"Listen, violence is never the answer… but all these #InsulateBritain people do kinda deserve some violence."
2021-11-16 16:44:52+00:00,"@robertpossnett1 @rudeboy_dwight @damiengayle Thank you.
As that quote says, the stupidity of #InsulateBritain has caused much harm."
2021-11-17 23:11:14+00:00,This won't end well..... #InsulateBritain https://t.co/1pYnsYJKrt https://t.co/e2InJ4xRIV
2021-11-18 10:47:24+00:00,"@fredwibblington @lnn1910ann Yes, an offense, but not punishable by imprisonment. Shapps wanted to lock them up for optics. He got you.  Your repeated reference to the protesters as terrorists reveals your unacknowledged fear of climate change. What terrifies you about #InsulateBritain?"
2021-11-17 00:29:54+00:00,"#InsulateBritain continuing with their mission to make friends.....

Insulate Britain campaigners vow to continue to block roads despite court ban https://t.co/FenPWMnLrt

@InsulateLove @LBC @GBNEWS"
2021-11-17 12:35:25+00:00,At last eco-fanatics from #InsulateBritain have been jailed for a maximum of 6 months. if the reoffend when they're out their sentences should be doubled
2021-11-11 00:01:32+00:00,On the streets for the right reasons! I just hope they don't become like those #InsulateBritain freaks. https://t.co/HgmsSnV7C7
2021-11-17 11:09:54+00:00,"Fantastic news 👏🏻 

I have refused for a while now to give air time to the antics of #InsulateBritain

Moronic, criminal, selfish behaviour. 

Tonight tho, I am looking forward to discussing the jailing of some of them. Something which in my mind, is very long overdue. https://t.co/OXneE4so5t"
2021-11-17 13:04:27+00:00,@CamillaTominey Thank god they’re jailing people for trying to save the planet than jailing fossil fuel companies who are raping the planet(!) #CrapBritain #InsulateBritain
2021-11-12 20:10:24+00:00,Ours have been on over our fireplace all year - take that #InsulateBritain https://t.co/PKrxehJA52
2021-11-17 12:37:13+00:00,"The eco warriors have been sent to jail
Their plan to blocks roads was doomed to fail
The other prisoners may not be sympathetic
They'll probably think the protest was pathetic
#InsulateBritain #InsulateBritainLoonies #COP26 
#COP26Glasgow #ClimateCrisis #climate #ClimateJustice"
2021-11-17 01:20:10+00:00,"My timetable is more or less
blank tomorrow so I'm heading
to London to support 9 people 
who’re being sentenced for
such a disgusting crime:
Asking our government to
save lives by taking a simple
first step on tackling the
Climate Emergency, which would be to #InsulateBritain"
2021-11-18 09:38:17+00:00,"Insulate Britain woman's husband, Andy Smith, on #JeremyVine trying to justify why she's gone to jail. We all think they're twats, mate. Of course, Yasmin compares this to the Suffragettes.
#InsulateBritain https://t.co/v2iQ52QYJz"
2021-11-17 11:18:18+00:00,"Well done that judge.. about time too, can he oversee proceedings in Claudia Webbes appeal please #InsulateBritain #claudiawebbe https://t.co/4EoD6pLigz"
2021-11-17 13:34:55+00:00,#InsulateBritain protestors jailed. Do they have central heating in prisons?
2021-11-17 17:31:46+00:00,https://t.co/zIk7s6teRO well deserved but I  hope the #woke do not turn them into martyrs #InsulateBritain
2021-11-12 17:07:28+00:00,"🌍💚💙🌎💚💙🌏⚖️⏰
#EndFossilFuels #insanity #PollutersPay #EndFossilFinanceChaos With @topnigel being a UN High Level Climate Action Champion @COP26 do good + influence UK @10DowningStreet @BorisJohnson @michaelgove @luhc to #RaceToZero, support British people, #InsulateBritain https://t.co/GJtYb8Gn8R"
2021-11-18 13:29:14+00:00,It's one thing to not bother to insulate your own home but now they won't even insulate themselves. #InsulateBritainLoonies #InsulateBritain https://t.co/Hd6twbTFS9
2021-11-17 11:41:16+00:00,"Week 28 - 16/11/2021:

Tory MP facing lobbying probe helped firm win 'VIP lane' PPE deal.
@allthecitizens
 #KeepingTheReceipts #InsulateBritain #Cronyism #Lobbying #MPs

https://t.co/knL2Pdt845

https://t.co/7o2REQW45q https://t.co/fsi0Zp50jY"
2021-11-17 19:33:17+00:00,"#channel4news Yeah, now I get it....Jesus  #InsulateBritain"
2021-11-17 13:01:36+00:00,Fascist country we live in #InsulateBritain https://t.co/f3TxRJbBzN
2021-11-18 14:05:38+00:00,"You cost Capitalism £1,000,000 so you 9 are going to jail. You get a criminal record for trying to help people particularly the millions who are in fuel poverty. But if you gave Tory government £3,000,000 you would be a Lord?! &amp; make £350 a day for turning up. #InsulateBritain https://t.co/69h648gZml"
2021-11-17 11:02:04+00:00,"#InsulateBritain
These sentences seem harsh to me, but blocking major roads also seemed harsh to me. https://t.co/mxxHytV1DK"
2021-11-12 08:41:49+00:00,"@Jonatha72315495 @grantshapps @Conservatives @NationalHways You were SO nearly there!🤦‍♀️

How about …

Creating proper jobs for people to go and insulate houses then people would be warmer, have lower bills, help save the planet, and end the protests.

Or, cold people, high bills, planet trashed, still have protestors.

#InsulateBritain https://t.co/MrtZEcet2I"
2021-11-17 16:49:16+00:00,"Still getting reaction to this news today - Emma is well known for her activism in #Dorset. 

I first met her when she campaigned for Dorset Council to declare a climate emergency.

She's in jail for blocking the M25 with other #InsulateBritain activists.

https://t.co/DmrrQG23lW"
2021-11-18 07:02:18+00:00,"Why do so many source biased, ignorant information about #InsulateBritain demands fr Twitter trolls &amp; breakfast tv when their website’s clear information on the multi-benefits of insulating old housing stock &amp; the existential threat facing us explains all? https://t.co/DpaxKb7xH7 https://t.co/rrjcI2kZSS"
2021-11-16 12:27:23+00:00,"@damiengayle Good that more #InsulateBritain criminals will be rightly facing trial soon.
All the more reason for the judge to do the right thing and give the criminals before her the jail time they deserve."
2021-11-16 18:32:26+00:00,"Awww did playing protestor now become a reality.

Tough shit my lad.

#Insulatebritain https://t.co/yhf6eRwBPV"
2021-11-17 13:24:45+00:00,Support #InsulateBritain https://t.co/L4T6FHxO7Y
2021-11-17 10:51:40+00:00,"9 members of Insulate Britain have been sentenced to between 3-6 months in prison for blocking the M25, after breaking a court order which banned them. Supporters cheered and sang as they were sent down. @itvlondon #InsulateBritain"
2021-11-18 09:41:05+00:00,""" #ClimateCrisis "" says the Insulate Britain wanker's husband  &amp; I think Andrew Pierce just muttered that she's an aerosol, or something similar.
#InsulateBritain #JeremyVine https://t.co/YFO1Kd4Nvv"
2021-11-18 08:18:00+00:00,"Protest groups like #InsulateBritain don't help the environment by recklessly blocking motorists...

That's why the increased penalties in the @Conservatives #PolicingBill are important and welcome...

#BackTheBill

https://t.co/htZAkB6YWE"
2021-11-17 15:27:20+00:00,The only issue with the #InsulateBritain protesters being jailed is that the ring leaders are free to carry on an inspire more.
2021-11-18 07:34:18+00:00,@GMB #InsulateBritain turning on the waterworks 🤔 get a grip.
2021-11-17 23:07:48+00:00,"Emma Smart, the #InsulateBritain activist who has been jailed for 4 months had previously travelled 81,000 miles on a round the world trip. https://t.co/gEokQy9P9z"
2021-11-17 11:26:01+00:00,"Dear #insulatebritain loonies 

Top Tip 

Don’t pick up the soap when in the shower. 

(No need to thank me)"
2021-11-11 14:04:44+00:00,"Check out the video and give your thoughts !

https://t.co/kbo98r0LIv

@YouTube @YouTubeCreators @InsulateLove @GMB #YouTube #GMB #goodmorningbritain #InsulateBritain #viral #show #liamnorton #funny #coward #m25 #protest #stand #insulation #homes #britain #british #idiots https://t.co/jVW5HqLxQk"
2021-11-18 07:35:08+00:00,@GMB I’m absolutely floored at this #insulateBritain fool pretending to cry! Someone dying due to these idiot roadblocks is worth crying for. Fool!!
2021-11-17 12:19:08+00:00,Why does #InsulateBritain claim laws against blocking roads are #BadLaws?
2021-11-17 11:20:01+00:00,"Update: One of the #InsulateBritain nine, Emma Smart, will be going on hunger strike following the sentencing"
2021-11-17 12:58:39+00:00,"Excellent news that 9 of the Insulate Britain idiots have been jailed , they were repeatedly  warned and they thought they could do whatever they wanted , hopefully more of the wasters will be joining them for a stint behind bars 👏👏👏 #InsulateBritain https://t.co/0JfoYhc5LE"
2021-11-17 11:08:07+00:00,when gammons say that #insulatebritain were stopping people going to A&amp;E or using NHS show them this https://t.co/yoTDcQYemk
2021-11-17 18:54:35+00:00,Did she just compare the process of insulating homes to the struggles of women &amp; black people fighting for equality!?? What an over privileged arsehole! These people need a dose of real struggle to gain some perspective 🤦‍♀️#insulatebritain https://t.co/hRbq5v69SG
2021-11-17 11:15:15+00:00,"@mcharlesworth71 How many more thugs will be imprisoned before they change their selfish and reckless stunts?

As many as it takes is what ordinary decent people are hoping. And today a judge has done the right thing with this important ruling
#ClimateJustice #climatecatastrophe #InsulateBritain"
2021-11-17 15:23:20+00:00,"#InsulateBritain ""will not stand by while these reckless, selfish [people] disrupt the freedoms and livelihoods of hard working people."" 

They'll lie down next to them. https://t.co/pz8scn9vi1"
2021-11-18 07:34:11+00:00,@GMB it’s the fake tears for me this morning 🙄 #InsulateBritain
2021-11-17 12:08:59+00:00,Best news of the month #InsulateBritain https://t.co/vuTGr4c1BL
2021-11-18 21:58:53+00:00,@GBNEWS Dan gets his ass whipped by #InsulateBritain was funny.
2021-11-16 15:58:45+00:00,"#InsulateBritain are not making a “sensible request” they are trying to blackmail the government by causing maximum disruption to the general public. For the lady paralysed by their selfish actions I hope they all go to jail.    Glue yourself to a politician’s drive, that’s fine. https://t.co/yLsZsQoig1"
2021-11-16 14:26:23+00:00,@StuartWeinstoc1 @SiobhanBenita Groups like #ExtinctionRebellion and #InsulateBritain are so just that their fans like @SiobhanBenita need to lie about them all the time.
2021-11-17 11:08:41+00:00,This is great news. I’m delighted that such strong action has been taken against these entitled @InsulateLove wasters. https://t.co/qgCvMvfJuC #insulatebritain
2021-11-17 11:08:19+00:00,Oh get over yourselves. You’ve caused nothing but trouble &amp; heartache to the wider public &amp; have shown no remorse for it. They deserve to go to prison for what they did &amp; all of you deserve nothing but contempt #shameful #insulatebritain #M25 https://t.co/bgzLyajss5
2021-11-17 11:58:48+00:00,"#InsulateBritain protestors jailed, but “nothing to see here” wrt #ToryCorruption . Of course."
2021-11-17 12:18:42+00:00,"❤️❤️❤️ It’s time to #InsulateBritain ❤️❤️❤️

#ActNow #RebelForLife #ClimateEmergency https://t.co/8Uh3v7ttQd"
2021-11-17 16:27:04+00:00,"At this stage, sending climate activists to prison is like banning fire engines because they make a noise and inconvenience people.
#InsulateBritain"
2021-11-18 10:39:23+00:00,So the #insulatebritain woman sent to prison yesterday and now on hunger strike is the same 1 who drove 88k miles around the world                Insulate Britain eco-zealot goes on HUNGER STRIKE in jail https://t.co/9GDHo0vRD8
2021-11-15 12:45:20+00:00,@anguscpress A joke surely? Not so eco friendly school a large castle with single glazed and cracked windows and old oil heating system. #InsulateBritain
2021-11-18 13:19:54+00:00,@InsulateLove what you Didlos up to today then #freaks #InsulateBritain #ClimateCrisis
2021-11-16 15:19:14+00:00,"No government wants its people to die of cold....surely?  So #InsulateBritain is making a sensible request. Why then are they vilified? Everyone should be pressing the government to act on this demand.
@XRebellionUK 
@BorisJohnson 
@XRMidlands"
2021-11-17 11:26:02+00:00,@Mdreadedtwit The reckless thugs from #InsulateBritain are certainly more selfish. And that is saying something.
2021-11-18 09:05:34+00:00,Do you agree with the #InsulateBritain  sentences?
2021-11-17 15:10:08+00:00,"@lopcute ""They are not the actual problem, are they.""
Yes, they are.
Like so many vigilante groups that lie about being ""on the right side of history"" in order to make excuses for their selfish and reckless actions.
#InsulateBritain"
2021-11-13 09:31:15+00:00,"Professor Bhaskar Vira, head of Dept of Geography at Cambridge, on the need for climate activism.

#insulatebritain @insulatelove @extinctionr https://t.co/2WoyJfGx3G"
2021-11-18 07:29:00+00:00,"@gbnews well challenged on #insulatebritain.
Tell Craig we don’t support his actions"
2021-11-17 16:18:42+00:00,"Hello There! 
today my new #food #business #ads #template
if you need similar design 
hire me on : https://t.co/4Oln2a3vAR. 

#Davido #PMQs #Visa #LiaisonCommittee #Randox #MendOrRepairASongOrFilm #Jamaican #Amazon #WorldPrematurityDay #sowhat #SWA21 #InsulateBritain https://t.co/xNIVkvWqDD"
2021-11-17 17:54:32+00:00,"BBC News - #InsulateBritain protesters jailed for defying road blockade ban
https://t.co/rlIjTyJjVG

Finally! If it ever happens again, jail them quicker. 
#insulatebritian #InsulateBritainLoonies @pritipatel @BackBoris @BorisJohnson"
2021-11-16 12:42:32+00:00,The only time the mail usually leads with climate change is when they are attacking protesters. If only they gave this much coverage to the science. The younger generation will hold them personally accountable. ⏰ https://t.co/aRyvRwMabY #insulatebritain https://t.co/LTXJ5COI1C
2021-11-17 19:32:32+00:00,"Terrible singing too.

#InsulateBritain 

#c4news"
2021-11-17 18:44:06+00:00,"Today the UK government made the decision to jail 9 peaceful protestors instead of fulfilling their £9bn UK household insulation pledge. An average of ❄️9,700❄️ people freeze to death in their homes each year. 
#InsulateBritain #RightToProtest #RiseUp 
https://t.co/D3GdKXygu1"
