Argument1,Argument2,Label
"https://t.co/G291njNKW9
Judge in #InsulateBritain contempt case holds ia that #ECHR freedom of expression holds no sway in contempt finding
'(P)erson accused of contempt by disobeying court order may not seek to revisit merits of injunction'

Unconvincing
https://t.co/G291njNKW9","@novaramedia @BlythBrentnall Please don't misrepresent #InsulateBritain's aim for the purposes of writing an article. It is not to ""protect disadvantaged households"". You are the one being intentionally parochial. Their clear aim is to prevent a climate catastrophe. Don't trivialise them.",1
"Good. No sympathy for them at all. None of them are above the law &amp; the sooner they understand that, the better 🤷🏻‍♀️ #justsaying #insulatebritain #M25 https://t.co/QO9xFGX3EJ","@Naughtydonna1 Is he one of the #InsulateBritain mob, on the way to prison?

He better ask Nana to fill a flask.🤢",1
"@theo_samuels Devastation is when the climate change’s irreversibly 

Getting to work late because of #InsulateBritain is an inconvenience 

#GMB","""It should be embarrassing that the injunctions were ever granted in those terms.""

The brilliant Alice Hardy, on how the injunctions issued against #InsulateBritain threatened our democratic freedoms, and how they successfully challenged &amp; amended the most recent one. https://t.co/DVqehGJjKK",1
"Now make those jail sentences mean something @BorisJohnson  by getting on with what needs to be done. It's time to #InsulateBritain. If you think the protests are ""annoying"" now, wait until the effects of Climate Change really bite.","Sam Smithson a.k.a. ‘Swan’ Co-founder of @Hs2Rebellion and @XRebellionUK activist intimately shares her grief about #InsulateBritain 9 going to prison. 
@swan89426150 
@InsulateLove 
#StopHS2 
#ExtinctionRebellion https://t.co/gn0yhgH0cv",1
"We’ll no doubt get deadly flooding in the UK soon, like they had in China, Germany &amp; Belgium this summer, and Canada right now, and the public and media will fling their hands up and say ‘why didn’t you tell us and make us take action’ #InsulateBritain https://t.co/xV4HEK7aT2",We’re an uneducated nation lead by a media who don’t understand the magnitude of what they are reporting #insulatebritain https://t.co/M1yceUZytT https://t.co/17uyKtsDuS https://t.co/oZPNKpGEfu,1
@pritipatel Only 9 people? #InsulateBritain,"#insulatebritain. 

Good on you for sticking to your principles. 

Don't think I'd have the guts to do the same.",0
Cowardly Tory government avoid jury to persecute #InsulateBritain campaigners. https://t.co/kRNdnLjSnd,"1. A lot of people are angry at #InsulateBritain, but is sitting down in a road worthy of several months in prison? 

Why is it that immediately after COP these activists were sent to prison, but not before? The answer is pretty obvious.",1
"@LBC 👏👏👏
Let me buy that judge a pint! 😁

#InsulateBritain","(2/2) But nobody criticises/arrests the armed forces!
Theres always a 'better way', but sometimes all u can do is the best u can. Environmentalists have spent decades fighting to give us a chance at a future and no1 has listened. #InsulateBritain are just making themselves heard!",0
"How is it people like Ann feel if you’re making money you can affect whoever you like- pollute the seas - no worries, gas a thousand Indian people- who cares but if you’re trying to do good you should be hung instantly? 
#JeremyVine #insulatebritain",I think #InsulateBritain need a better spokeswoman 😳 @GBNEWS,0
"Good result, but we don't fancy their chances in the showers...

@InsulateLove
#InsulateBritain

https://t.co/7ZT4IICzus","Sentences were no where near tough enough 
#InsulateBritain #InsulateBritainLoonies",1
"Knowingly destroying the next generation!  That's what you are doing if you are not fighting for change.
@InsulateLove #InsulateBritain https://t.co/ewRfexOd97","How are people happy that #InsulateBritain protesters are jailed for ""breaking rules"" for a good cause.

And yet they also support this rule breaking, babbling baboon of a Prime Minister?

#PMQS #YouAintNoLeaderBruv https://t.co/M6Um2spC7X",1
Cant believe I've just seen @susannareid100 on @GMB condoning and supporting a car driver breaking the law against an #InsulateBritain protester outrageous. And why are you talking to @DawnNeesom our complicit media are as much to blame as the government,Why no report on the #insulatebritain  shower getting jailed? We’re all in need of good news sometimes…joking aside this is v strange..what is the agenda here.. #bbcnews,0
"These #heroes will be seen as the modern-day #Suffragettes in the #future. 
Just when we thought our world could not get more crazy &amp; as @BorisJohnson &amp; chums take £ billions from taxpayers those that want #change &amp; #ClimateJustice #InsulateBritain go to jail #RightToProtest https://t.co/wp2Bt1VNH2","With 10,000 people expected to die from #FuelPoverty and a need to reduce #CarbonEmissions, the issue of home insulation is urgent.

But #InsulateBritain's protests have unleashed unwanted backlash.

Here's why👇
https://t.co/kXK1wrmwBG",0
"@BlueHairedBigot It gets worse. She says she ""did her own research"" and found it would be better for the environment if she drove 81,000 miles in an old poorly-maintained diesel 4x4 than if she stayed in UK.
Begging the question of the highly polluting lifestyle she leads here.
#InsulateBritain","@JeremyVineOn5 #InsulateBritain yes they may be good people but im afraid even if you did insulate the whole of britain it really isnt going to save the world from climate change...
Commercial fishing, tearing up jungles, forests etc.if this doesnt stop nothing will change!  ✌",0
"Brexiters having another bad week. Terrorist turns out to be Christian, their Crime Minister keeps soiling himself &amp; the dinghies keep coming. 

Sadly they have one big win; decent people are now behind bars for daring to try to save the world. #InsulateBritain","That moment when you realise when David Attenborough says the collapse of cities and human civilisation is approaching, he actually means it https://t.co/tkkd0YXX0a #InsulateBritain #ClimateAction #climate #climatechange https://t.co/yspL1t1nfJ",1
"@CharlieJGardner #Insulation is such low hanging fruit, as is wfh, charging aviation fuel tax &amp; limiting air miles and stopping HS2. Government could make a list of climate fighting measures that could be implemented almost overnight... but they  rather lock people up. 
#InsulateBritain https://t.co/KF8TfGuWJV","#insulatebritain  were not jailed for  blocking the M25 per se but for breaching the injunction. I think.

Mind you they do sound bonkers.

#c4news",0
"@leepatrick1001 Don’t blame you! Disgusted with mafia Gov, majority of thickos that excuse Brexit, the 💩 in daily viewspapers and the rejoicing by ignorant 🐷s at members of #InsulateBritain going to prison! #turdworldcountry #BrexitBritain","thought about going outside and blocking the local roads to assist with getting my loft insulated 
#InsulateBritain 

perhaps it's not a good idea .. I'd most likely end up getting my arsehole reamed for the next few months in #jail

oh, and missing #Christmas 

😂😂😂😂😂😂",0
"Hands up if you didn’t repeatedly break the law and will enjoy a free Christmas 🙋🏻‍♂️ 

#InsulateBritain","He feels like crying? Good. Let him cry. Perhaps now he will know how it feels to be driven to tears , just like that poor woman who was in tears begging #InsulateBritain activists to unblock the road and let her drive to see her very ill 80 year old mum in hospital. https://t.co/KTARz38BP6",1
"EXCELLENT news. These evil people terrorised innocent members of the public for weeks. 

Hopefully this will deter any more of the unwashed #InsulateBritain rabble from laying down on roads any more. https://t.co/Jdl7qxBCcT",Now they’re comparing themselves to suffragettes &amp; Martin Luther King. Deranged doesn’t even begin to describe it 🤪🤦🏻‍♀️ #InsulateBritain #InsulateBritainLoonies https://t.co/ZRL9XuyPpF,1
"Break the rules, you face the consequences!
#InsulateBritain https://t.co/5ok5cT4sp4","So who's braver ? Those who are prepared to go to prison for their beliefs ? ( #InsulateBritain ) Or a wealthy, privileged person who those 'reports' from a beach front complaining about refugees on dingies ? #NigelFarage",0
"@MrMatthewTodd With respect...NO I Won't feel differently!! The idiots were targeting ordinary working people and disrupting their working lives. Many protesters were living very comfortable lives in £950,000 houses on nice pensions. #ExtinctionRebellion #InsulateBritain","@TeeDixie They are walking 🚶🏼‍♂️amongst us. Driving our 🚌 ; Teaching our 👶; possibly sitting in Parliament or even government😱

They must be found and arrested. Instd of the eternally courageous #InsulateBritain protesters, these racist criminals shld be in jail!🤬 https://t.co/3XJqqu64Yt",0
#InsulateBritain So pleased to see these wreckers in  jail though sentences are far too short. Let's hope the  9 have to pay  serious amounts in costs too. Paul in Oxford.,"@GMB Insulate Britain's actions will cause people to lose work.

Finances are most people's immediate concern.

Perhaps if financial burden wasn't the majority's main concern Insulate Britain, Ext. Rebel. et al might do better with their message.  #InsulateBritain",0
@NoContextBrits @PaulPaul2021 Is this the new XR rebellion tactic? 😂 #InsulateBritain #COP26,"(2/3) On the other hand, maybe it just shows they are infinitely #woke -- or they don't know what love is.

#InsulateBritain #insulatebritainloonies #humor #funny #humorous",1
"@DawnNeesom I've only just watched 2 of the interviews u did 4 #GMB with that mad #InsulateBritain duo, Liam &amp; Tracy. Can't believe the grandiosity &amp; hypocrisy of both. Liam's homes are'nt insulated &amp; Tracy objected 2 being called ""darling"" by Richard, but called u ""sweetheart""😠","Todays children are going to hate their parents beyond expression for sitting back and letting this happen, when scientists told us over and again that they were in grave danger: #InsulateBritain https://t.co/TYvxZoUxHt",0
"@GBNEWS #InsulateBritain 

Don’t need to Insulate Britain, So called Climate Change will keep us Warm,👍🏻👍🏻🤷🏻‍♂️🤷🏻‍♂️Welcome to the real World of Shite Britain👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻 https://t.co/0A1fBy9Qkb",Cripes - she liked the sound of her own voice eh @danwootton? #InsulateBritain #InsulateBritainLoonies #gbnews,0
@CamillaTominey Thank god they’re jailing people for trying to save the planet than jailing fossil fuel companies who are raping the planet(!) #CrapBritain #InsulateBritain,Justice has been done today. #InsulateBritain have finally been held accountable. https://t.co/UTB5FzT7gp,0
"https://t.co/eEl2lXw7TK we have to stop companies building to a poor quality and start building better today. The government need to get behind companies like #purehaus 

https://t.co/ZSR1QITnNP 

#InsulateBritain #ExtinctionRebellion","When the Law is an Ass 
#ClimateCrisis #EcologicalEmergency #InsulateBritain https://t.co/cYJ8zT5NSb",1
@cathcartboy @TheSun @mik61scot They could use this on the M25 at an #InsulateBritain protest!,"#InsulateBritain: please take “the most basic first steps to avert the horror of climate breakdown, creating millions of decent jobs and protecting the most vulnerable in our communities” 

The establishment, today: have 4 months in jail #Highway9 

https://t.co/yvFDkTCn7b",0
Love the way the chief rabble rouser got 6 months. Hope he gets a bit of a surprise the first time he bends down in the shower! #insulatebritain #bbcnews  https://t.co/5KNsyvSFWR,"So, it looks like a step change in direct action is the only way those with power are going to listen?

#COP26 #ExtinctionRebellion #InsulateBritain",0
"Instead of locking people up, wouldn't it be better value for taxpayers' money to fund insulation improvements to Britain's housing stock, worst first? #InsulateBritain #CoP26 https://t.co/OQx5RsNUUL","This morning our #InsulateBritain supporters have been sentenced. 

We are being failed and betrayed by our government. 

Our 9 chose not to standby and be complicit in genocide. https://t.co/VkPksPmKQX",1
"""from a window I could not stand by and watch- I would catch them.
If I saw a bird trapped in netting I could not stand by and watch- I would free them.

Well, right now every one of us is drowning, burning, falling and trapped

I will not be a bystander""

Emma, #InsulateBritain",She’s gone ! #insulatebritain fish wife …,0
"@michaelgove Minster, only 94% of new housing reaches EPC C level wasting efficiency, increasing demand for #FossilFuels solutions are available, implement them. Up the regs now, #InsulateBritain #ClimateActionNow","“We have to move quickly. What we do in the next three to four years, I believe, will determine the future of humanity” Sir David King

We will not stand by while these reckless, selfish, politicians disrupt the freedoms and livelihoods of hard working people.

#insulatebritain https://t.co/Qwz2ICE5ue",1
"@InsulateLove The government (actually the Court, but facts are not an #InsulateBritain strongpoint) would be doing the right thing by locking up your criminal members.

Nine ordinary, but arrogant and stupid, criminals from InsulateBritain face trial...",About time  Eight #InsulateBritain protesters jailed for up to four months -  ninth locked up for six months - So much for 2 years - at least it`s #Christmas in jail is fine by me :),1
the #data is clear that less people die from #weather events than in the past. #ClimateChange #InsulateBritain,"#EarthThePowerOfThePlanet is must-see for all watching #COP26 &amp; thought 'positive progress was made' 

@ProfIainStewart showed what looks like an inevitable portend of our planet's future. Rate #Glaciers are melting in #Greenland &amp; #Alaska is terrifying

#InsulateBritain  #C4News https://t.co/Mn7CEjKyvO",1
"@grantshapps At least #InsulateBritain take the #climatecrisis seriously!

It is you who should be in jail after ""spending public money on lobbyists opposing the government’s own plans to build on private runways, including one he has personally used"" 

https://t.co/4riqP2j21I",#InsulateBritain idiots jailed for defying road blockade ban. Good and extra time for the chief clown for inciting 👍👋 https://t.co/tvztcUXvZN,1
Priti Patel and the rest of the politicians seem to think that they can arrest themselves out of a climate and ecological emergency. We continue to stand in solidarity with #InsulateBritain and all of the other movements on the right side of history doing the right thing. https://t.co/pEvZ3R4QEC,ehttps://www.telegraph.co.uk/news/2wnt globe-trotting in a 4x4 gas-guzzling pick-up truck 021/11/17/jailed-insulate-britain-protester-went-globe-trotting-4x4-gas/ why is #InsulateBritain full of people who do not practise what they preach ? Is it just publicity they are after ?,0
#GMB Nigel get your kid to beat those #InsulateBritain wankers up in prison,"@LelJoyce You are merely speaking the truth about such privileged thugs. But your frankness about them is certainly welcome and much needed.
#justsaying #insulatebritain",1
@bojum12 @GBNEWS my switching off was nothing to do with @GBNEWS ... its was the woman from #InsulateBritain railing at @danwootton .... then the blonde female on his panel ...interrupting the other two and being rude .. and her raised sqeaking voice was doing my ears in ...... #Amy 🙄🤨,Insulate Britain Protesters jailed. About time. #InsulateBritain @InsulateLove,1
"@grantshapps Shapps' green credentials, protect the motorist, stuff the planet and people choosing between heating and eating. #InsulateBritain","Outside HMP Wandsworth this evening, we pay tribute to 9 brave Insulate Britain activists unjustly jailed today.
#InsulateBritain #FreeJamesBrown #ClimateEmergency
@InsulateLove @alicebr47249832 @XRLondon @XRWandsworth @XRebellionUK @KingstonXR @XRLambeth @XRBalham https://t.co/8GgDxoW0PB",1
"@CharlieJGardner Thanks for this, Charlie. I feel so privileged to be able to work for @Aspireoxford who support my activism and thank you to @SohaHousing for the funding to enable my work to continue 💚🙏🏻#progressiveemployer #oneplanetliving #InsulateBritain #extinctionrebellion #ActNow","Folks quite rightly concerned about the climate crisis being thrown in jail for peacefully blocking roads whilst the most corrupt government of our time, tries to avoid even further scrutiny 🤔 #ClimateEmergency #InsulateBritain #TorySleaze #ToryCorruption",1
@GaiaFawkes @GuidoFawkes #COP26 #climate #GretaThunberg #ExtinctionRebellion #insulatebritain #georgemonbiot _ When will George Monbiot be superglueing his genitals to the tarmac?,"@ccatherinemaire They are far from brave (one of them is crying in ""bravery"" because he thought he was above the law).

The only way that the response to them has been unjust has been by being too lenient to #InsulateBritain criminals.",1
"Don't worry protesters, the soaps are bio-degradable... x #InsulateBritain #prison https://t.co/DTHsk6s0NH","@artforlifept2 It's hard not to laugh at this.
""Breaking the law can lead to jail"" shocker for @InsulateGB goon.
We need lots of these #InsulateBritain #ExtinctionRebellion criminals going to jail.

The environment does not need their selfish performances.",1
"@DannySt44245634 @LisaWright1975 @MontagueTerrie @BorisJohnson They need to concentrate on SERIOUS crimes and become more harsh with idiots who cause unnecessary trouble like #InsulateBritain nine of them have got locked up...for now, but unfortunately there will be others who will carry on behaving like disruptive morons for their 'cause'",".#COP26 

With China/India watering down coal agreement 

With UK emissions at only 0.9% of World total

Will #InsulateBritain please f' off and glue themselves to Chinese and Indian roads

.",1
"We are in a climate crisis. #COP26 failed to achieve what was needed. New fossil fuels are still being extracted. British Colombia is right now facing extreme climate change related flooding. UK homes are not being insulated, whilst #InsulateBritain activists are imprisoned…","Why are this government incarcerating climate protestors? Instead of listening to them? 
#InsulateBritain
40% of our carbon emissions are lost through our homes
#ClimateEmergency 
#stop1point5 https://t.co/DxBlAg0E5f",1
"@InsulateLove Criminals say lots of things.
As this quote shows, much of what they say are lies. Self-serving lies.
#InsulateBritain","Democracy &amp; justice in the UK 2021:
All rights to trial by jury bypassed as government uses a private injunction to send 9 climate activists to prison with £10k costs each.
While corrupt politicians sell seats in the Lords and water down their own standards.
#insulatebritain https://t.co/KXwgZLRYwF",0
"Bragging about jailing climate protesters. Really? 

Now #CoP26 is done we see this Governments true colours. 

Shameful.

#InsulateBritain
#Solidarity https://t.co/M1XlpYTqo0","The next f*cker to support protest in Hong Kong, will be called out after the jailing of #InsulateBritain protesters
 #C4News #ToryHypocrisy",1
"@Cornish_Rebel @CamillaTominey They were not jailed for ""trying to save the planet"".
#InsulateBritain fans lying certainly contribute to #CrapBritain
So does cheapening horrible crimes against women with your shrill hyperbole.","Sentencing time for the #Fascist #InsulateBritainNine

#InsulateBritain 

#StAlbans https://t.co/cAh39958tR",1
Brilliant. If only it was adopted here against the #InsulateBritain f*ckwits. Would solve many problems &amp; save wasting police resources https://t.co/TxacLazgk3,"@GBNEWS @danwootton What are the GB News lot going to say when we start seeing anti-lockdown protesters being sent to the same prisons? 
Be careful what you wish for cowards!
#Covid19 #ClimateAction #InsulateBritain #DirectAction",0
"DAY 2
HUNGER STRIKE
WORMWOOD SCRUBS

FREE THE M25 NINE!

#FreeTheM25Nine
#InsulateBritain 
#Solidarity 
#NeedMcDonalds https://t.co/OkPBTYVOgZ","@campbellclaret Taking to the streets doesn't work... unless it involves sitting on a motorway or otherwise stopping the wheels of business, destruction and ecocide.
#InsulateBritain @InsulateLove #ExtinctionRebellion",1
"This govt would rather send pensioners to prison than take sensible measures against climate change.

Climate criminals have power over us.
Act now.

https://t.co/QYmissZEcL
#InsulateBritain","@ScientistRebel1 My respect and honour to the 9 Climate Rebel prisoners of the UK Gov. Sentenced by the GB UK Royal court of justice on behalf of their industrie clients #betrayedbyourgovernment
#InsulateBritain #Justice #cop26",1
